ncicId,Icd,Icd2,InconsistentFor,Sex,SexConsistency,LowerAgeLimit,UpperAgeLimit,AgeConsistency,RareDisease,PromptRare,UnderlyingCauseUse,PromptUc,NationalExtension,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
10509,"Z878",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10510,"Z880",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10511,"Z881",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10512,"Z882",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10513,"Z883",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10514,"Z884",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10515,"Z885",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10516,"Z886",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10517,"Z887",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10518,"Z888",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10519,"Z889",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10520,"Z890",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10521,"Z891",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10522,"Z892",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10523,"Z893",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10524,"Z894",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10525,"Z895",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10526,"Z896",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10527,"Z897",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10528,"Z898",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10529,"Z899",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10530,"Z900",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10531,"Z901",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10532,"Z902",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10533,"Z903",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10534,"Z904",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10535,"Z905",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10536,"Z906",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10537,"Z907",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10538,"Z908",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10539,"Z910",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10540,"Z911",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10541,"Z912",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10542,"Z913",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10543,"Z914",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10544,"Z915",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10545,"Z916",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10546,"Z917",,,"F","M","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10547,"Z918",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10548,"Z920",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10549,"Z921",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10550,"Z922",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10551,"Z923",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10552,"Z924",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10553,"Z925",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10554,"Z926",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10555,"Z928",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10556,"Z929",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10557,"Z930",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10558,"Z931",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10559,"Z932",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10560,"Z933",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
