Icd,Label,Asterisk,AffectedByInterval,AffectedByStatus,NationalExtension,ActionVar,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
"A164","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A165","Tuberculous pleurisy, without mention of bacteriological or histological confirmation",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A167","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A168","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A169","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A1690","Tuberculosis, unspecified, not described as respiratory or pulmonary",0,1,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A1699","Tuberculosis, unspecified, described as respiratory or pulmonary",0,1,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A170","Tuberculous meningitis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A171","Meningeal tuberculoma",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A178","Other tuberculosis of nervous system",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A179","Tuberculosis of nervous system, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A180","Tuberculosis of bones and joints",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A181","Tuberculosis of genitourinary system",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A182","Tuberculous peripheral lymphadenopathy",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A183","Tuberculosis of intestines, peritoneum and mesenteric glands",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A184","Tuberculosis of skin and subcutaneous tissue",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A185","Tuberculosis of eye",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A186","Tuberculosis of ear",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A187","Tuberculosis of adrenal glands",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A188","Tuberculosis of other specified organs",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A190","Acute miliary tuberculosis of a single specified site",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A191","Acute miliary tuberculosis of multiple sites",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A192","Acute miliary tuberculosis, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A198","Other miliary tuberculosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A199","Miliary tuberculosis, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A200","Bubonic plague",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A201","Cellulocutaneous plague",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A202","Pneumonic plague",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A203","Plague meningitis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A207","Septicaemic plague",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A208","Other forms of plague",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A209","Plague, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A210","Ulceroglandular tularaemia",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A211","Oculoglandular tularaemia",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A212","Pulmonary tularaemia",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A213","Gastrointestinal tularaemia",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A217","Generalized tularaemia",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A218","Other forms of tularaemia",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A219","Tularaemia, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A220","Cutaneous anthrax",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A221","Pulmonary anthrax",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A222","Gastrointestinal anthrax",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A227","Anthrax sepsis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A228","Other forms of anthrax",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A229","Anthrax, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A230","Brucellosis due to Brucella melitensis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A231","Brucellosis due to Brucella abortus",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A232","Brucellosis due to Brucella suis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A233","Brucellosis due to Brucella canis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A238","Other brucellosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A239","Brucellosis, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A240","Glanders",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A241","Acute and fulminating melioidosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A242","Subacute and chronic melioidosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A243","Other melioidosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A244","Melioidosis, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A250","Spirillosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A251","Streptobacillosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A259","Rat-bite fever, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A260","Cutaneous erysipeloid",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A267","Erysipelothrix sepsis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A268","Other forms of erysipeloid",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
