id,label,code,source
DBEB5302CA8DD296,Other forms of plague,A208,SpecV2021SR40
61E1B594E6E493BF,"Plague, unspecified",A209,SpecV2021SR40
1970145CEDF16F19,Tularaemia,A21,SpecV2021SR40
A10230A61CE76FA3,Ulceroglandular tularaemia,A210,SpecV2021SR40
2DE33AB864823C90,Oculoglandular tularaemia,A211,SpecV2021SR40
827B9C4931F6E5D6,Pulmonary tularaemia,A212,SpecV2021SR40
DC91832267A8C041,Gastrointestinal tularaemia,A213,SpecV2021SR40
586EFF06A28C0316,Generalized tularaemia,A217,SpecV2021SR40
B0A9CDA861871F57,Other forms of tularaemia,A218,SpecV2021SR40
F9761EA4F3BEFF4B,"Tularaemia, unspecified",A219,SpecV2021SR40
EB2EEC4DF8C9A8E7,Anthrax,A22,SpecV2021SR40
4753B8692D85EFFD,Cutaneous anthrax,A220,SpecV2021SR40
B6E4C11EA10E31A0,Pulmonary anthrax,A221,SpecV2021SR40
5E04064FDA274AD2,Gastrointestinal anthrax,A222,SpecV2021SR40
0852AC50FDEC3D36,Anthrax sepsis,A227,SpecV2021SR40
D8E796F06F8A3855,Other forms of anthrax,A228,SpecV2021SR40
79354B885DE7F94A,"Anthrax, unspecified",A229,SpecV2021SR40
D9027240324EB63B,Brucellosis,A23,SpecV2021SR40
3FF987F831DA0857,Brucellosis due to Brucella melitensis,A230,SpecV2021SR40
1C8992A1F5D789FC,Brucellosis due to Brucella abortus,A231,SpecV2021SR40
1D1AF453AC961B7B,Brucellosis due to Brucella suis,A232,SpecV2021SR40
8538A7B997B0031D,Brucellosis due to Brucella canis,A233,SpecV2021SR40
B97F7D31A5DA5D31,Other brucellosis,A238,SpecV2021SR40
E02A3069B7F78E02,"Brucellosis, unspecified",A239,SpecV2021SR40
7A2A64AB72D1AC57,Glanders and melioidosis,A24,SpecV2021SR40
9F2BDF63FBBD1637,Glanders,A240,SpecV2021SR40
3EE093AAA5B2A5F7,Acute and fulminating melioidosis,A241,SpecV2021SR40
78C95266197438FC,Subacute and chronic melioidosis,A242,SpecV2021SR40
DA9836538D457F8A,Other melioidosis,A243,SpecV2021SR40
918718A50AEE4755,"Melioidosis, unspecified",A244,SpecV2021SR40
55CDABDEDC5AB339,Rat-bite fevers,A25,SpecV2021SR40
E60808A3038119FC,Spirillosis,A250,SpecV2021SR40
3417C4F5187C7804,Streptobacillosis,A251,SpecV2021SR40
2B16E79C3445B187,"Rat-bite fever, unspecified",A259,SpecV2021SR40
079550554E650E2E,Erysipeloid,A26,SpecV2021SR40
3DCE5FB8FB98ABB9,Cutaneous erysipeloid,A260,SpecV2021SR40
960DFCB01203D7C5,Erysipelothrix sepsis,A267,SpecV2021SR40
8B5945CCD8468362,Other forms of erysipeloid,A268,SpecV2021SR40
