id,label,code,chapter_no,chapter_range,chapter_name,subchapter_code,subchapter_name,ncd_cd_injuries,ill_defined
6b1fb7c9-b0cf-4712-ac20-b96043fff945,Pneumococcal hydrothorax,J948,X,J00-J99,Diseases of the respiratory system,J90-J94,Other diseases of pleura,Noncommunicable diseases,No
08075142-2c85-4e45-a994-da3af7346029,Pneumococcal infection,A491,I,A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,Communicable diseases,No
5a5b3390-b5ba-4dbe-988e-83607e538132,Pneumococcal lobar pneumonia,J13,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
94fb0848-396c-4b25-bcb7-e909e3f1de3c,Pneumococcal lung pneumonia,J13,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
8eaf38d2-e5f3-43ce-a204-11d5229aff7d,Pneumococcal meningitis,G001,VI,G00-G99,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,Communicable diseases,No
fa189d38-9be6-42a5-bd33-099cb4ed611f,Pneumococcal meningoencephalitis,G001,VI,G00-G99,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,Communicable diseases,No
5e705908-2762-43db-8c6f-9e95e6eecb36,Pneumococcal pericarditis,I301,IX,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,Noncommunicable diseases,No
555156b9-a50d-4654-8657-b0bd7f5d1411,Pneumococcal peritonitis,K650,XI,K00-K93,Diseases of the digestive system,K65-K67,Diseases of peritoneum,Noncommunicable diseases,No
2fa8c858-473b-4884-b5b3-0df48db5f989,Pneumococcal peritonitis,K658,XI,K00-K93,Diseases of the digestive system,K65-K67,Diseases of peritoneum,Noncommunicable diseases,No
f1a0e5ff-06d1-45bd-bfd5-a7506dfae90e,Pneumococcal peritonitis,S359,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",S30-S39,"Injuries to the abdomen, lower back, lumbar spine and pelvis",,No
8be31b27-4de2-4474-b263-0c42000ae971,Pneumococcal pleurisy,J90,X,J00-J99,Diseases of the respiratory system,J90-J94,Other diseases of pleura,Noncommunicable diseases,No
8e3706ca-f4a3-42f6-86e4-9b94adc6a91b,Pneumococcal pneumonia,J13,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
c76fd464-104c-41fb-8571-171029210dfa,Pneumococcal sepsis,A403,I,A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,Communicable diseases,No
8e29c065-8b9e-43e8-a166-950442c5ac52,Pneumococcal sepsis infection,A403,I,A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,Communicable diseases,No
2d5dbf9b-bd65-4eba-81df-d04c427e8c94,Pneumococcal septicaemia,A403,I,A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,Communicable diseases,No
29a26695-c7d8-404b-bf6f-3e1616226f25,Pneumococcal spinal meningitis,G001,VI,G00-G99,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,Communicable diseases,No
c8465904-d083-4dfd-8f4b-4e21db84778a,Pneumococcal throat infection,J028,X,J00-J99,Diseases of the respiratory system,J00-J06,Acute upper respiratory infections,,No
9d582d1d-39c9-4836-a487-33bc10769b04,Pneumococcal tracheitis,J041,X,J00-J99,Diseases of the respiratory system,J00-J06,Acute upper respiratory infections,,No
c082a856-a46c-4e3c-ad92-0e24bc5c6697,Pneumococcal tracheitis,J42,X,J00-J99,Diseases of the respiratory system,J40-J47,Chronic lower respiratory diseases,Noncommunicable diseases,No
f3701b21-726d-4faf-947e-18842f9f0b9d,Pneumococcemia,A403,I,A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,Communicable diseases,No
8b340332-2ab7-42d3-b500-d6653699ac49,Pneumococci endocarditis,I330,IX,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,Noncommunicable diseases,No
7d817902-712f-47ba-883c-b29dbcab97ef,Pneumococci pneumococcal pneumonia,J13,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
7978a787-0053-4293-8ad4-b5793a50ab70,Pneumococcus,A491,I,A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,Communicable diseases,No
c3478493-8894-41c6-8177-33ff03d7d47a,Pneumococcus infection,A491,I,A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,Communicable diseases,No
6a8466df-4ad6-4d12-ad7b-69deb63a2735,Pneumococcus meningitis,G001,VI,G00-G99,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,Communicable diseases,No
971a47cc-dc90-4706-96df-43ee98a4fce8,Pneumococcus pneumonia,J13,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
3e958c1e-4f6d-49f4-a249-d5bbfaa23a48,Pneumococcus sepsis,A403,I,A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,Communicable diseases,No
52e3e97e-22ed-45a1-bb6c-f0c803152503,Pneumococcus sepsis infection,A403,I,A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,Communicable diseases,No
be82d585-01b9-45ae-95f8-e69297e109e6,Pneumoconiosis,J64,X,J00-J99,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,Noncommunicable diseases,No
d2999dd0-13ae-42e3-972d-c1922ddaee93,Pneumoconiosis due to talc dust,J620,X,J00-J99,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,Noncommunicable diseases,No
1ed24b40-2675-4788-bee6-a695393f3163,Pneumoconiotic asthma,J64,X,J00-J99,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,Noncommunicable diseases,No
39b6b249-0de3-4d25-ab72-5950d1337122,Pneumocutaneous fistula,J860,X,J00-J99,Diseases of the respiratory system,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,Noncommunicable diseases,No
d5d36382-3c88-4d50-a111-9ad9b6258713,Pneumocystic carinii pneumonia,B485,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
66de82b1-cec1-4419-aed1-ab5e7d63b725,Pneumocystic pneumonia,B485,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
a459b7b9-65df-4c0e-bd20-d492b67e635f,Pneumocystis,B485,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
f440a4c2-e61d-4cd8-bf4c-87003a531acd,Pneumocystis carinii,B485,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
f0a1fb32-f364-46f4-bea6-9ab9a72cde9a,Pneumocystis carinii infection,B485,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
096b7ff5-0a3b-475d-b92c-284ea13be1ad,Pneumocystis carinii pneumonia,B485,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
c683d912-adc0-4d92-935a-ae37be402e6c,Pneumocystis carinii pneumonitis,B485,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
c2f1cfb5-8d1f-4d7e-86f0-a43a1b2459b0,Pneumocystis carnii,B485,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
84d02208-358d-48d6-97a7-93a3f8b467bc,Pneumocystis jiroveci pneumonia,B485,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
d715493e-9ca6-46d7-ac29-13a1789f2883,Pneumocystis jirovecii pneumonia,B485,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
7efc12c9-e249-4dff-ac57-53986e5f736e,Pneumocystis pneumonia,B485,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
64fbcdaf-6459-440e-a910-cec03cf81790,Pneumocystis pneumoniae pneumonia,B485,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
7e9f3d7b-f5a1-4298-bb8c-7ed0ca9732b5,Pneumocystosis,B485,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
46a49cec-341e-4b41-885e-3ed97cd52ec0,Pneumocystosis infection,B485,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
3d23305a-80ab-4005-996c-7a8122696065,Pneumocystosis pneumonia,B485,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
85cd957c-e9ab-4e9d-89dc-f63d3b8e53f1,Pneumohaemopericardium,I312,IX,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,Noncommunicable diseases,No
12ce469f-e250-4b0a-a459-76b39062ef55,Pneumohaemothorax,J942,X,J00-J99,Diseases of the respiratory system,J90-J94,Other diseases of pleura,Noncommunicable diseases,No
d2ff1aaa-5ee4-4a06-b72c-8fa8aabe5dd3,Pneumohemopericardium,I312,IX,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,Noncommunicable diseases,No
